cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
cellular variations,quality_attribute,structural differences,sequence_structure,induces,1,1,high,"may lead to significant variations of the cellular systems used for biological production, as well as to differences in ",28416374
gel rupture,stress_condition,subvisible particles,sequence_structure,induces,1,1,high,the formation of subvisible particles due to rupture of these gels.,27422087
colloidal instability,degradation_pathway,agglomeration,quality_attribute,promotes,1,1,high,"Subvisible particles formed by mechanical rupturing of the gels agglomerated over time, even during quiescent incubation",27422087
high protein concentration,formulation_factor,high viscosity,quality_attribute,destabilizes,1,1,high,mAbs...can exhibit physical stability issues such as high viscosity and opalescence.,36668814
AF4 assay,formulation_factor,identification of variants,quality_attribute,promotes,1,1,high,AF4 assay requires very little sample...to identify antibodies with problematic issues.,36668814
PEG assay,formulation_factor,viscosity differentiation,quality_attribute,promotes,1,1,high,PEG precipitation assay provides results consistent with AF4 and moreover can further differentiate molecules.,36668814
two-step selection,formulation_factor,selection of high-concentration antibodies,clinical_outcome,promotes,1,1,high,This two-step antibody selection strategy enables us to select antibodies early in the discovery process.,36668814
B7.1-Fc,sequence_structure,binding to CD28,clinical_outcome,binds,1,1,high,B7.1-Fc bound to CD28 and CTLA-4 with K(d) values of 45.1 and 9.58 nM.,20801597
B7.1-Fc,sequence_structure,binding to CTLA-4,clinical_outcome,binds,1,1,high,B7.1-Fc bound to CD28 and CTLA-4 with K(d) values of 45.1 and 9.58 nM.,20801597
Antibody-98,sequence_structure,number of hydrogen bonds,quality_attribute,increases,1,1,high,"Antibody-98 exhibited 14-15 hydrogen bonds, which were sustained at about 8-10 bonds...",41241079
conditions,stress_condition,stability,quality_attribute,requires,1,1,medium,Stability was established under certain conditions and no significant differences were found.,20801597
EIA method,formulation_factor,quantification,quality_attribute,promotes,1,1,high,The EIA method employed a sandwich scheme in which a multiclonal anti-human IgG (Fc specific) antibody and a monoclonal ,20801597
physicochemical alterations,formulation_factor,backbone dynamics changes,sequence_structure,induces,1,1,high,distinct regions of IgG1 mAbs experience significant changes in backbone dynamics in response to specific physicochemica,25354868
local dynamics,sequence_structure,stability changes,quality_attribute,correlates,1,1,medium,"tracking such changes in local dynamics may therefore serve as a key analytical tool, not only to monitor stability chan",25354868
excipient stability,formulation_factor,mAb local dynamics changes,sequence_structure,induces,1,1,high,"monitoring changes in mAb local dynamics in response to chemical modifications, physical degradation, and presence of st",25354868
aggregation hotspot,sequence_structure,decreased stability,quality_attribute,correlates,1,1,high,"results are correlated with decreased pharmaceutical stability, supporting the identification of a common aggregation ho",25354868
MS-grade trypsins,formulation_factor,semi-tryptic peptides,degradation_pathway,induces,1,1,high,"MS-grade trypsins contained non-specific, chymotryptic-like cleavage activity causing generation of semi-tryptic peptide",38520959
MS-grade trypsins,formulation_factor,tryptic peptides,degradation_pathway,degrades,1,1,high,causing generation of semi-tryptic peptides and degradation of tryptic-specific peptides.,38520959
validated assay,formulation_factor,pharmacokinetic assessment,clinical_outcome,promotes,1,1,high,This validated EIA assay was then successfully employed in the assessment of pharmacokinetic behavior of B7.1-Fc.,20801597
Antibody-354,sequence_structure,number of hydrogen bonds,quality_attribute,increases,1,1,high,Antibody-354 exhibited a range of 6-8 number of hydrogen bonds...,41241079
Antibody-374,sequence_structure,number of hydrogen bonds,quality_attribute,increases,1,1,high,Antibody-374 had a robust contact with 6-10 hydrogen bonds.,41241079
immunoassay,formulation_factor,stability,quality_attribute,stabilizes,1,1,medium,"A simple, highly sensitive and efficient immunoassay protocol was established to assess the stability.",30892061
immunoassay,formulation_factor,properties,clinical_outcome,stabilizes,1,1,medium,to assess the stability and pharmacokinetic properties of propitious recombinant proteins.,30892061
stable linkers,formulation_factor,improved pharmacokinetics,quality_attribute,stabilizes,1,1,high,"Advances in linker chemistry...have significantly improved pharmacokinetics, stability, and safety.",41630133
cytotoxic drug,sequence_structure,induces apoptosis,clinical_outcome,induces,1,1,high,a cytotoxic drug that induces apoptosis once internalized.,41630133
ADCs,sequence_structure,chemotherapeutic delivery,clinical_outcome,promotes,1,1,high,achieving targeted delivery of chemotherapeutic compounds to malignant cells.,41630133
bystander effect,clinical_outcome,cytotoxic effect,clinical_outcome,promotes,1,1,medium,the cytotoxic effect can extend to neighboring cells-a phenomenon termed the bystander effect.,41630133
ionic strength,formulation_factor,gel formation rate,quality_attribute,correlates,1,1,medium,Rates of gel formation and their elastic moduli did not vary significantly with ionic strength.,27422087
downregulation,sequence_structure,resistance mechanisms,clinical_outcome,induces,1,1,high,resistance mechanisms remain a significant challenge. These include antigen downregulation.,41630133
modular ADC architecture,sequence_structure,optimization,clinical_outcome,promotes,1,1,medium,"the modular architecture of ADCs allows iterative optimization of their antibody, linker, and payload components.",41630133
Protein A affinity chromatography,formulation_factor,antibody quantification,quality_attribute,stabilizes,1,1,high,"ProA method as a reliable, efficient, and specific approach for accurately quantifying antibodies.",40975305
selective binding,sequence_structure,antibody separation,quality_attribute,promotes,1,1,medium,achieve clear separation of antibodies from potential interference.,40975305
ProA method,formulation_factor,enhanced throughput,quality_attribute,increases,1,1,medium,significantly enhancing throughput.,40975305
ProA method,formulation_factor,successful application,quality_attribute,induces,1,1,medium,successful application to five different BsAbs in this study.,40975305
dual-filler membrane,formulation_factor,long-term stability,quality_attribute,stabilizes,1,1,high,the resulting m-EDPW@COF@TiO/PES affinity membrane...showed long-term stability (21 days),40203634
affinity membrane,formulation_factor,binding capacity for trastuzumab,quality_attribute,increases,1,1,high,binding capacity for trastuzumab (386.6 mg/g),40203634
affinity membrane,formulation_factor,BSA rejection rate,quality_attribute,increases,1,1,high,anti-fouling ability (BSA rejection rate: 97.7 %),40203634
humanized antibodies,sequence_structure,toxicity reduction,clinical_outcome,stabilizes,1,1,medium,Second-generation ADCs introduced stable linkers and humanized antibodies...which confirmed improved survival outcomes a,41630133
subvisible particles,quality_attribute,adverse responses,clinical_outcome,induces,1,1,high,Subvisible particles in therapeutic protein formulations are an increasing manufacturing and regulatory concern because ,28159641
FlowCAM imagery,quality_attribute,aggregated samples classification,quality_attribute,induces,1,1,high,We demonstrate the method with FlowCAM imagery of protein aggregates acquired from monoclonal antibody samples subjected,28159641
stress condition,stress_condition,aggregation,degradation_pathway,induces,1,1,high,is able to identify the stress that caused aggregate formation in new samples.,28159641
formulation composition,formulation_factor,oxidation susceptibility,quality_attribute,modifies,1,1,high,The results demonstrated that formulation composition can significantly influence oxidation susceptibility.,40306556
visible light,stress_condition,oxidation,degradation_pathway,induces,1,1,high,"Oxidative stress was induced using visible light, hydrogen peroxide, and metal-catalyzed oxidation.",40306556
HT methods,formulation_factor,aggregation,quality_attribute,promotes,1,1,medium,HT analytical methods such as Size Exclusion Chromatography and Reversed-Phase Chromatography subunit analysis were empl,40306556
HT screenings,formulation_factor,oxidative stability,quality_attribute,stabilizes,1,1,medium,"The study confirms that the oxidation profiling workflow is an effective method for routine HT formulation screenings, p",40306556
linker,sequence_structure,conjugation stability,quality_attribute,stabilizes,1,1,high,"a critical structural determinant contributing to the ADC design was the linker, and competition of the thio-succinimide",39392424
MARCH6,sequence_structure,proteasome degradation,degradation_pathway,induces,1,1,medium,MARCH6... ubiquitinates many substrate proteins to consign them to proteasome-mediated degradation.,39306038
biotransformation,degradation_pathway,DAR profile changes,quality_attribute,induces,1,1,medium,"biotransformations may occur on the linker, the payload, and/or at the modified conjugation site.",39392424
ADC structure,sequence_structure,ADC stability,quality_attribute,correlates,1,1,medium,gaps that exist in our understanding of ADC structural determinants that underlie ADC stability.,39392424
freezing,stress_condition,aggregation,degradation_pathway,induces,1,1,high,production and storage conditions have been identified as capable of inducing aggregation,39527351
increased ionic strength,formulation_factor,aggregation,degradation_pathway,induces,1,1,high,production and storage conditions have been identified as capable of inducing aggregation,39527351
stabilizing excipients,formulation_factor,aggregation,degradation_pathway,prevents,1,1,high,helps to combat the formation of aggregates,39527351
point mutations,sequence_structure,aggregation,degradation_pathway,inhibits,1,1,medium,future aggregation inhibition mechanisms involving the introduction of point mutations,39527351
glycoengineering,sequence_structure,aggregation,degradation_pathway,inhibits,1,1,medium,future aggregation inhibition mechanisms involving the introduction of glycoengineering,39527351
improperly folded proteins,sequence_structure,amyloid fibrils,degradation_pathway,induces,1,1,high,characterised by the production of improperly folded and amyloidogenic immunoglobulin light chains,39527351
thio-succinimide reaction,degradation_pathway,conjugation stability,quality_attribute,promotes,1,1,medium,competition of the thio-succinimide hydrolysis reaction over retro-Michael deconjugation can result in superb conjugatio,39392424
microneedles,formulation_factor,immunogenicity,clinical_outcome,promotes,1,1,high,"demonstrate that powder-attached and coated microneedles effectively deliver recombinant VZV gE vaccines, satisfying ess",41217681
one-pot detection,formulation_factor,sensitivity,quality_attribute,increases,1,1,high,These streamlined systems not only reduce handling steps and turnaround time but also enhance sensitivity.,40680677
one-pot detection,formulation_factor,multiplex detection,quality_attribute,promotes,1,1,high,These streamlined systems...enable multiplexed detection of low-abundance nucleic acid targets.,40680677
CRISPR diagnostics,clinical_outcome,point-of-care testing,clinical_outcome,promotes,1,1,medium,one-pot CRISPR diagnostics are poised to transform point-of-care testing.,40680677
one-pot detection,formulation_factor,turnaround time,quality_attribute,decreases,1,1,high,These streamlined systems...reduce handling steps and turnaround time.,40680677
platform integration,formulation_factor,potential realization,clinical_outcome,requires,1,1,medium,integration with portable platforms...will be pivotal in realizing the full potential of CRISPR-based one-pot systems.,40680677
dropping stress,stress_condition,aggregation,degradation_pathway,induces,1,1,high,local freeze-thaw stress that induced protein aggregation.,39722424
dropping stress,stress_condition,stability,quality_attribute,destabilizes,1,1,high,dropping stress reduced the stability of proteins even in the frozen state.,39722424
glycosylation engineering,sequence_structure,therapeutic mAb stability,quality_attribute,stabilizes,1,1,medium,enhancing the conformational stability of therapeutic mAbs,32360204
temperature,stress_condition,micron-sized aggregates,quality_attribute,increases,1,1,high,Significant increases in micron-sized aggregates were observed at -30 C.,39722424
sTNFR-Fc,sequence_structure,neuroprotection,clinical_outcome,stabilizes,1,1,high,the secreted protein was shown to protect neuronal cells from TNF-alpha,21569583
pH 2,stress_condition,spore viability,quality_attribute,destabilizes,1,1,high,spore exposure to pH 2 results in spore death,32685200
alginate microcapsules,formulation_factor,spore viability,quality_attribute,stabilizes,1,1,high,alginate microcapsules provided the necessary protection for spores to survive the gastric environment,32685200
encapsulation,sequence_structure,anti-anthrax responses,clinical_outcome,induces,1,1,high,encapsulated spores induced anti-anthrax specific responses in both the subcutaneous and the oral vaccination groups,32685200
responses,clinical_outcome,anthrax protection,clinical_outcome,promotes,1,1,high,the antibody responses from both vaccination routes were protective against anthrax lethal toxin in vitro,32685200
additional glycosylation sites,sequence_structure,aggregation resistance,degradation_pathway,promotes,1,1,high,enhance its resistance to aggregation by steric hindrance,32360204
N-glycans,sequence_structure,conformational stability,quality_attribute,increases,1,1,high,significantly enhanced its conformational stability,32360204
N-glycans,sequence_structure,melting temperature,quality_attribute,increases,1,1,high,increasing the melting temperature of the Fab domain by >6C,32360204
rapid freezing,formulation_factor,aggregation,degradation_pathway,prevents,1,1,high,rapid freezing could suppress the aggregation caused by the dropping stress.,39722424
vehicle transportation,stress_condition,subvisible particle count,quality_attribute,increases,1,1,high,transportation via a cargo van led to a considerable increase in the subvisible particle counts,39141808
PS80 concentration,formulation_factor,subvisible particle count,quality_attribute,stabilizes,1,1,high,the presence of as low as 0.0004%w/v PS80 in the dosing solution stabilized the mAb against vehicle transportation stres,39141808
simulated methods,stress_condition,air bubbles,quality_attribute,increases,1,1,high,OS- and RS-based simulated methods formed significantly more micro air bubbles and foaming,39141808
PS80 concentration,formulation_factor,air bubbles,quality_attribute,stabilizes,1,1,high,0.0004%w/v PS80 in the dosing solution was found to be sufficient to stabilize the mAb.,39141808
mutation Asn68 to Gln,sequence_structure,binding affinity of scFv 9B9,quality_attribute,increases,1,1,high,Mutation of Asn68 to Gln... significantly improved the binding affinity of scFv 9B9 to human ACE.,20888351
Asn68Gln scFv,sequence_structure,thermal stability,quality_attribute,decreases,1,1,high,...had a decreased thermal stability at 37C.,20888351
Asn68Gln scFv,sequence_structure,secretion rate,quality_attribute,increases,1,1,high,...showed a greater rate of secretion at 30C than wild type scFv 9B9.,20888351
syringe withdrawal,formulation_factor,stability,quality_attribute,stabilizes,1,1,high,Pharmaceutical compounding and storage of prefilled syringes for IVI must take place without impairing the structure and,37936232
oligomerization,degradation_pathway,aggregation,degradation_pathway,induces,1,1,high,formed through the oligomerisation of misfolded / modified proteins,39527351
syringe storage,stress_condition,binding to VEGF,clinical_outcome,stabilizes,1,1,high,ELISA did not detect differences in VEGF-A or Ang-2 binding between time points.,37936232
syringe storage,stress_condition,aggregation,degradation_pathway,prevents,1,1,high,Faricimab...without any sign of degradation products or aggregation.,37936232
aggregates,degradation_pathway,protein activity,quality_attribute,decreases,1,1,high,the formation of protein aggregates...can diminish protein activity,39515675
aggregates,degradation_pathway,immunogenicity,clinical_outcome,increases,1,1,high,can diminish protein activity and raise immunogenicity concerns,39515675
polysorbate 80 concentration,formulation_factor,aggregation,degradation_pathway,modifies,1,1,high,resulting in the generation of powder formulations with associated low and high protein aggregate levels,39515675
pulmonary route,stress_condition,immune response,clinical_outcome,promotes,1,1,high,the pulmonary route appeared to evoke a more robust immune response when compared to subcutaneous administration,39515675
aggregation,degradation_pathway,NIP228 immunogenicity,clinical_outcome,destabilizes,1,1,medium,the level of NIP228 aggregation...did not appear to be the primary driver of NIP228 immunogenicity,39515675
MARCH6,sequence_structure,lipid homeostasis,clinical_outcome,promotes,1,1,medium,"MARCH6 has been identified as a key regulator of several metabolic pathways, including cholesterol and lipid droplet hom",39306038
syringe storage,stress_condition,Tm,quality_attribute,correlates,1,1,medium,There were slight variations in Tm for different time points compared to day 0 but without consistent relationship with ,37936232
dihydromyricetin,sequence_structure,stability,quality_attribute,stabilizes,1,1,medium,Dihydromyricetin demonstrated excellent stability in most organic solvents and acidic conditions.,41365151
dihydromyricetin,sequence_structure,sensitivity,quality_attribute,promotes,1,1,medium,"LFIA, leveraging the high specificity of the dihydromyricetin mAb, offers a simple, rapid, and accurate method.",41365151
dihydromyricetin,sequence_structure,recovery rate,quality_attribute,promotes,1,1,medium,The recovery rates of dihydromyricetin were in the range of 70.83-96.17%.,41365151
structural stability,quality_attribute,drug efficacy,clinical_outcome,stabilizes,1,1,high,"protein stability and integrity influence drug efficacy, and ultimately patient safety.",35458703
pH,formulation_factor,conformational stability,quality_attribute,requires,1,1,medium,characterized as a function of pH.,35458703
guanidine hydrochloride,formulation_factor,fluorescence,quality_attribute,induces,1,1,medium,measures the change in size and intrinsic fluorescence of a protein during in-line denaturation with guanidinium hydroch,35458703
thermal perturbation,stress_condition,optical properties,quality_attribute,destabilizes,1,1,medium,relative changes in optical properties such as fluorescence or scattering upon thermal or chemical perturbation.,35458703
hapten design,sequence_structure,high affinity antibody,sequence_structure,induces,1,1,high,A high-affinity monoclonal antibody (mAb) against NPX was prepared by computer-aided hapten design.,40237477
shorter time scale data,formulation_factor,aggregation,quality_attribute,increases,1,1,high,accurate prediction of aggregate fractions for up to three years using the data obtained on a much shorter time scale.,35090111
high-affinity mAb,sequence_structure,immunochromatographic assay,clinical_outcome,promotes,1,1,high,A highly sensitive immunochromatographic assay (ICA) was established based on this mAb.,40237477
immunochromatography,clinical_outcome,detection,quality_attribute,induces,1,1,high,"for the detection of NPX in sewage, soil and serum.",40237477
detection results,quality_attribute,consistency with LC-MS/MS,quality_attribute,correlates,1,1,high,The detection results of real samples were highly consistent with LC-MS/MS.,40237477
increased scFv building blocks,sequence_structure,bsAbs manufacturability,quality_attribute,destabilizes,1,1,high,manufacturability of bsAbs was adversely affected with increased number of scFv building blocks.,37403264
affinity and avidity,sequence_structure,functionality,clinical_outcome,destabilizes,1,1,medium,"functionality was affected by the combination of multiple factors, including the binding affinity and avidity of targeti",37403264
flexibility,sequence_structure,functionality,clinical_outcome,destabilizes,1,1,medium,"functionality was affected by the combination of multiple factors, including the flexibility and geometry of formats.",37403264
aggregation,degradation_pathway,shelf life,quality_attribute,destabilizes,1,1,high,aggregation limits their shelf life and can lead to adverse immune responses.,35090111
temperature dependence,stress_condition,long-term stability,quality_attribute,promotes,1,1,high,analysis of temperature-dependent aggregation data that can dramatically shorten the assessment of the long-term aggrega,35090111
kinetic and thermodynamic analysis,formulation_factor,aggregation mechanisms,degradation_pathway,increases,1,1,medium,the strategy combining kinetic and thermodynamic analysis... contributes to a better understanding of the molecular mech,35090111
mouse immunization,sequence_structure,high affinity antibody,sequence_structure,induces,1,1,high,A high-affinity monoclonal antibody (mAb) against NPX was prepared by mouse immunization.,40237477
MA4-hFc-CD16AM19,sequence_structure,cytotoxicity,clinical_outcome,induces,1,1,medium,"It demonstrated potent, dose-dependent cytotoxicity against GPC3+ HCC lines.",40574860
MA4-hFc-CD16AM19,sequence_structure,NK activation,clinical_outcome,induces,1,1,medium,via NK cell activation.,40574860
MA4-hFc-CD16AM19,sequence_structure,tumor suppression,clinical_outcome,promotes,1,1,medium,achieved synergistic tumor suppression (CI=0.41).,40574860
BsAb treatment,formulation_factor,tumor growth,quality_attribute,decreases,1,1,medium,BsAb treatment (5 mg/kg) significantly inhibited tumor growth in xenograft models.,40574860
enhanced NK cell infiltration,quality_attribute,toxicity,clinical_outcome,prevents,1,1,medium,correlating with enhanced intratumoral NK cell infiltration without toxicity.,40574860
alpha-CyD PPRX hydrogel,formulation_factor,stabilization,quality_attribute,stabilizes,1,1,high,both alpha- and gamma-CyD PPRX hydrogel formulations provided high stabilizing effects (ca. 100%) to the all antibody-ba,28089687
hydrogel,formulation_factor,stabilization,quality_attribute,stabilizes,1,1,high,both alpha- and gamma-CyD PPRX hydrogel formulations provided high stabilizing effects (ca. 100%) to the all antibody-ba,28089687
hydrogel,formulation_factor,binding activity of omalizumab,quality_attribute,stabilizes,1,1,high,approximately 100% of the binding activity of omalizumab to the immunoglobulin E receptor was retained after the release,28089687
novel trypsin,formulation_factor,non-specific cleavage,degradation_pathway,prevents,1,1,high,the novel trypsin was free of detectable non-specific cleavage activity.,38520959
alpha-CyD PPRX hydrogel,formulation_factor,adverse effects,clinical_outcome,prevents,1,1,high,alpha- and gamma-CyD PPRX hydrogels induced no serious adverse effects.,28089687
hydrogel,formulation_factor,adverse effects,clinical_outcome,prevents,1,1,high,alpha- and gamma-CyD PPRX hydrogels induced no serious adverse effects.,28089687
binding efficiency,quality_attribute,antigen engagement,clinical_outcome,promotes,1,1,high,importance of this cross-arm binding for optimal antigen engagement.,23872324
optimized properties,sequence_structure,improved affinity,quality_attribute,increases,1,1,high,significant progress has been made in optimizing properties of both Fab and Fc components.,23872324
optimized properties,sequence_structure,improved stability,quality_attribute,increases,1,1,high,significant progress has been made in optimizing properties of both Fab and Fc components.,23872324
optimized properties,sequence_structure,improved function,clinical_outcome,increases,1,1,high,significant progress has been made in optimizing properties of both Fab and Fc components.,23872324
binding efficiency,quality_attribute,successful application,clinical_outcome,requires,1,1,medium,cross-arm binding efficiency needs to be considered for successful application of multispecific antibodies.,23872324
trehalose,formulation_factor,HA activity,quality_attribute,stabilizes,1,1,high,Addition of trehalose maintained HA activity above 60% after drying and above 20% after 1month storage at 25C.,20387097
hydrogel,formulation_factor,plasma levels,quality_attribute,correlates,1,1,medium,Plasma levels of omalizumab after subcutaneous injection of the gamma-CyD PPRX hydrogel to rats were equivalent to those,28089687
transgenic CD16A expression,sequence_structure,effective depletion,clinical_outcome,requires,1,1,high,effective B-cell depletion that was dependent on the transgenic expression of both CD16A on the effector cells.,20382161
transgenic CD32B expression,sequence_structure,effective depletion,clinical_outcome,requires,1,1,high,effective B-cell depletion that was dependent on the transgenic expression of both CD32B on the B-cell targets.,20382161
DART proteins,sequence_structure,potent protective activity,clinical_outcome,induces,1,1,high,DART proteins showed potent in vivo protective activity in a human Burkitt's lymphoma cell xenograft model.,20382161
IL-17A,sequence_structure,PD-L1 expression,quality_attribute,increases,1,1,high,IL-17A promotes tumorigenesis and upregulates PD-L1 expression in non-small cell lung cancer.,37978543
IL-17A,sequence_structure,cell migration,clinical_outcome,promotes,1,1,high,"IL-17A promotes lung cancer cell migration, invasion and colony formation ability.",37978543
IL-17A,sequence_structure,autophagy,degradation_pathway,inhibits,1,1,high,IL-17A...inhibiting autophagy and reducing PD-L1 degradation.,37978543
IL-17A,sequence_structure,ROS production,degradation_pathway,induces,1,1,high,IL-17A induced ROS production and increased Nrf2 and p62 expression.,37978543
ROS production,degradation_pathway,PD-L1 degradation,degradation_pathway,decreases,1,1,high,...inhibiting autophagy and reducing PD-L1 degradation.,37978543
DSF predictions,quality_attribute,catalase stability,quality_attribute,correlates,1,1,medium,the stability of two catalase concepts was correctly predicted by DSF/SLS.,40280286
anti-IL-17A mAb,formulation_factor,PD-L1 expression,quality_attribute,decreases,1,1,high,"When combined with anti-PD-L1 monoclonal antibody, tumor tissue expression of PD-L1 was reduced.",37978543
vandetanib,formulation_factor,long-term survival,clinical_outcome,promotes,1,1,medium,Both patients were treated with the multitarget kinase inhibitor vandetanib with prolonged stability.,34956923
cardiac metastasis,clinical_outcome,poor prognosis,clinical_outcome,destabilizes,1,1,high,Cardiac metastases from thyroid cancers are uncommon with a poor prognosis.,34956923
surgical excision,clinical_outcome,disease progression,clinical_outcome,destabilizes,1,1,medium,The second patient required surgical excision of the cardiac mass because of disease progression under vandetanib.,34956923
FVIII-Fc,sequence_structure,half-life,quality_attribute,increases,1,1,high,"increase the half-life of FVIII, by 1.5-2-fold",23205847
rFVIIIFc,sequence_structure,FVIII interactions,clinical_outcome,stabilizes,1,1,high,rFVIIIFc maintains normal FVIII interactions with other proteins necessary for its activity,23205847
rFVIIIFc,sequence_structure,clot formation,clinical_outcome,promotes,1,1,high,rFVIIIFc showed prolonged improvement of clot formation,23205847
stabilizing buffers,formulation_factor,instability,degradation_pathway,destabilizes,1,1,high,stabilizing buffers and excipients are added to therapeutic proteins to overcome their intrinsic instability.,40280286
measured recovery,quality_attribute,original concentration,quality_attribute,decreases,1,1,high,the measured recovery was partly 40 % lower than prior to SD.,40280286
anti-IL-17A mAb,formulation_factor,tumor growth,clinical_outcome,decreases,1,1,high,anti-IL-17A monoclonal antibody alone slowed the growth of subcutaneous tumors in mice.,37978543
CD formulations,formulation_factor,mAb stability,quality_attribute,stabilizes,1,1,high,Formulations with CD/Suc or CD/PVP/Suc were superior to pure Suc formulations for long-term storage at 40C.,31622600
addition of CD,formulation_factor,freeze-drying cycles,degradation_pathway,induces,1,1,medium,the addition of CD allows for shorter freeze-drying cycles.,31622600
aggressive freeze-drying cycles,stress_condition,cake formation,quality_attribute,promotes,1,1,medium,these formulations were characterized by pharmaceutically elegant cakes.,31622600
CD formulations,formulation_factor,reconstitution time,quality_attribute,decreases,1,1,medium,short reconstitution times.,31622600
storage conditions,stress_condition,costs,clinical_outcome,decreases,1,1,medium,"enables storage at room temperature, which might reduce costs of goods substantially.",31622600
hybrid Fc fragment,sequence_structure,hydrodynamic diameter,quality_attribute,increases,1,1,high,"The fusion protein, hGH-hyFc, resulted in the increase of the hydrodynamic diameter.",23546513
hGH-hyFc,sequence_structure,phosphorylation,clinical_outcome,induces,1,1,high,The hGH-hyFc protein released in a controlled manner...was found to trigger the phosphorylation of Janus kinase 2 (JAK2),23546513
nanoporous release device,formulation_factor,controlled release,clinical_outcome,promotes,1,1,high,"Thus, the nanoporous release device could be a potential delivery system for the long-term controlled release of therape",23546513
drying time,formulation_factor,HA activity,quality_attribute,decreases,1,1,high,HA activity decreased below 10% and to almost zero after 1h and 1month of drying.,20387097
adjuvanted vaccine formulations,formulation_factor,stability,quality_attribute,stabilizes,1,1,medium,assessed for stability and immunogenicity in mice,29386070
adjuvanted vaccine formulations,formulation_factor,immunogenicity,clinical_outcome,stabilizes,1,1,medium,assessed for stability and immunogenicity in mice,29386070
IFN-gamma production,quality_attribute,humoral response,clinical_outcome,correlates,1,1,medium,mouse cellular immune responses were analyzed by measuring IFN-gamma and IL-5 production,29386070
cationic polymer,sequence_structure,stabilization,degradation_pathway,stabilizes,1,1,high,Due to the electrostatic interaction between the polymer and the surface ligands stabilizing the Au NCs.,41747375
PAH-Au NCs,sequence_structure,enhanced fluorescence,quality_attribute,increases,1,1,high,PAAN exhibits pH-dependent swelling properties and enhanced fluorescence by the AIE effect.,41747375
PAAN conjugate,sequence_structure,diagnostic sensitivity,quality_attribute,increases,1,1,high,the LFA demonstrated a diagnostic sensitivity of 7pg/mL for cTnT.,41747375
PAAN LFA,sequence_structure,detection,clinical_outcome,increases,1,1,high,the PAAN-based LFA enabled detection of cTnT after 3h for symptoms.,41747375
conventional methods,sequence_structure,diagnostic sensitivity,quality_attribute,decreases,1,1,high,significantly superior to that of the conventional gold colloid-based LFA (1.17ng/mL).,41747375
hGH-hyFc,sequence_structure,structural integrity,quality_attribute,stabilizes,1,1,medium,...suggesting that the released fusion protein should maintain the functional and structural integrity of hGH.,23546513
aggregation,degradation_pathway,HA activity,quality_attribute,destabilizes,1,1,medium,Loss of HA activity generally correlated with increased virus particle aggregation.,20387097
coated microneedles,formulation_factor,serum IgG titers,clinical_outcome,increases,1,1,high,Administration of microneedles coated with trehalose-stabilized influenza vaccine yielded high serum IgG antibody titers,20387097
coated microneedles,formulation_factor,survival rates,clinical_outcome,increases,1,1,high,all animals survived with minimal weight loss after lethal challenge infection.,20387097
surfactant addition,formulation_factor,medium or large aggregate formation,degradation_pathway,decreases,1,1,high,the addition of surfactants to antibody formulations...markedly reduced the formation of medium or large aggregates,25517319
antibody concentration,formulation_factor,aggregation,degradation_pathway,destabilizes,1,1,medium,"these two factors had a limited effect on aerosol performance, but affected antibody aggregation",25517319
nebulizer type,formulation_factor,aggregation,degradation_pathway,destabilizes,1,1,medium,aggregation was also dependent on the type of mesh nebulizer,25517319
MUC16/CA125 binding,sequence_structure,internalization,quality_attribute,destabilizes,1,1,high,HIO factor MUC16/CA125 binding to SS1 ADC was shown to have a negative effect on internalization.,37195923
HIO-refractory NAV-001,sequence_structure,tumor cell killing,clinical_outcome,increases,1,1,high,NAV-001 ADC was shown to have robust killing of MUC16/CA125 expressing and non-expressing tumor cells.,37195923
sucrose-based formulations,formulation_factor,collapse,degradation_pathway,requires,1,1,medium,Sucrose-based formulations require low primary drying temperatures to avoid collapse.,31622600
HIO-refractory antibodies,sequence_structure,therapeutic efficacy,clinical_outcome,increases,1,1,medium,identification of HIO-refractory antibodies to be used in ADC format may improve therapeutic efficacy.,37195923
charge heterogeneity,quality_attribute,quality,clinical_outcome,destabilizes,1,1,high,"Charge heterogeneity is a critical quality attribute in biopharmaceutical development, necessitating thorough characteri",40976302
charge heterogeneity,quality_attribute,efficacy,clinical_outcome,destabilizes,1,1,high,"Charge heterogeneity is a critical quality attribute in biopharmaceutical development, necessitating thorough characteri",40976302
charge heterogeneity,quality_attribute,stability,clinical_outcome,destabilizes,1,1,high,"Charge heterogeneity is a critical quality attribute in biopharmaceutical development, necessitating thorough characteri",40976302
charge variants,sequence_structure,biological activity,clinical_outcome,decreases,1,1,medium,Charge variants slightly affected biological activity potentially due to the presence of aggregates.,40976302
aggregates,sequence_structure,biological activity,clinical_outcome,destabilizes,1,1,medium,Charge variants slightly affected biological activity potentially due to the presence of aggregates.,40976302
phosphorylation,sequence_structure,acidic variants,sequence_structure,modifies,1,1,medium,minor differences in acidic variants were possibly attributed to variations in phosphorylation.,40976302
sialylation,sequence_structure,acidic variants,sequence_structure,modifies,1,1,medium,minor differences in acidic variants were possibly attributed to variations in sialylation.,40976302
charge heterogeneity,quality_attribute,structural integrity,sequence_structure,requires,1,1,medium,This method offers high purity... while preserving protein structural integrity.,40976302
NAV-001-PNU,sequence_structure,stability,quality_attribute,stabilizes,1,1,high,NAV-001-PNU demonstrated good stability in vitro and in vivo.,37195923
